scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S7,16,0,313172177,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.7,1500.0,True,False,2026-06-20T01:03:30Z
S7,16,0,313172177,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.7,1507.0,True,False,2026-06-20T01:03:30Z
S7,16,1,95670008,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.5,1500.0,True,False,2026-06-20T01:03:45Z
S7,16,1,95670008,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.5,1507.0,True,False,2026-06-20T01:03:45Z
S7,16,2,762227068,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.4,1500.0,True,False,2026-06-20T01:04:00Z
S7,16,2,762227068,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.4,1507.0,True,False,2026-06-20T01:04:00Z
S7,16,3,804352794,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.2,1500.0,True,False,2026-06-20T01:04:15Z
S7,16,3,804352794,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.2,1507.0,True,False,2026-06-20T01:04:15Z
S7,16,4,1354763437,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.7,1500.0,True,False,2026-06-20T01:04:45Z
S7,16,4,1354763437,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.7,1507.0,True,False,2026-06-20T01:04:45Z
S7,16,5,1525040830,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.5,1500.0,True,False,2026-06-20T01:05:00Z
S7,16,5,1525040830,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.5,1507.0,True,False,2026-06-20T01:05:00Z
S7,16,6,899999035,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.4,1500.0,True,False,2026-06-20T01:05:15Z
S7,16,6,899999035,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.4,1507.0,True,False,2026-06-20T01:05:15Z
S7,16,7,197993480,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.2,1500.0,True,False,2026-06-20T01:05:30Z
S7,16,7,197993480,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.2,1507.0,True,False,2026-06-20T01:05:30Z
S7,16,8,245833227,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.7,1500.0,True,False,2026-06-20T01:06:00Z
S7,16,8,245833227,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.7,1507.0,True,False,2026-06-20T01:06:00Z
S7,16,9,1032744630,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,1.0,-0.6,1500.0,True,False,2026-06-20T01:06:15Z
S7,16,9,1032744630,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1507.0,1.0,-0.6,1507.0,True,False,2026-06-20T01:06:15Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.7,1507.0,False,True,2026-06-19T23:49:00Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.7,1500.0,False,True,2026-06-19T23:49:00Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.5,1500.0,False,True,2026-06-19T23:49:15Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.5,1507.0,False,True,2026-06-19T23:49:15Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.4,1507.0,False,True,2026-06-19T23:49:30Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.4,1500.0,False,True,2026-06-19T23:49:30Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.2,1500.0,False,True,2026-06-19T23:49:45Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.2,1507.0,False,True,2026-06-19T23:49:45Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.7,1500.0,False,True,2026-06-19T23:50:15Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.7,1507.0,False,True,2026-06-19T23:50:15Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.5,1500.0,False,True,2026-06-19T23:50:30Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.5,1507.0,False,True,2026-06-19T23:50:30Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.4,1500.0,False,True,2026-06-19T23:50:45Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.4,1507.0,False,True,2026-06-19T23:50:45Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.2,1507.0,False,True,2026-06-19T23:51:00Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.2,1500.0,False,True,2026-06-19T23:51:00Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.7,1500.0,False,True,2026-06-19T23:51:30Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.7,1507.0,False,True,2026-06-19T23:51:30Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.5,1500.0,False,True,2026-06-19T23:51:45Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.5,1507.0,False,True,2026-06-19T23:51:45Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.7,1507.0,False,True,2026-06-20T00:29:30Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.7,1500.0,False,True,2026-06-20T00:29:30Z
S7,,,,WSJT-X,CQ Q1ABC FN42,,,,1.0,-0.5,1500.0,False,True,2026-06-20T00:29:45Z
S7,,,,WSJT-X,Q4XYZ Q1ABC -07,,,,1.0,-0.5,1507.0,False,True,2026-06-20T00:29:45Z
